X,Y,id,lbl,fip,mmt_id,short__frm,long_frm,adm0,adm1,adm2,adm3,adm4,adm5,stl-0,stl-1,stl-2,stl-3,stl-4,stl-5,bbox
-1.83065948710728,10.0917930806316,43,GHA-43,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Ajumako/Enyan/Essiam,-,-,-,92,3,3,-,-,-,"[ -2.076570, 9.820060, -1.585290, 10.363400 ]"
-2.16321857378954,10.6492112346801,44,GHA-44,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Asikuma/Odoben/Brakwa,-,-,-,92,3,4,-,-,-,"[ -2.613570, 10.302480, -1.920200, 10.996020 ]"
-2.45609470850779,10.3409900896731,45,GHA-45,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Assin North,-,-,-,92,3,5,-,-,-,"[ -2.854030, 10.100970, -1.995160, 10.581750 ]"
-2.53335048455446,10.7081887144107,46,GHA-46,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Assin South,-,-,-,92,3,6,-,-,-,"[ -2.859070, 10.417690, -2.319230, 11.003620 ]"
-2.81483652762824,10.7238365177895,47,GHA-47,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Awutu/Effutu/Senya,-,-,-,92,3,7,-,-,-,"[ -2.945600, 10.443830, -2.692170, 11.004660 ]"
-2.29559103701144,9.99894375954776,48,GHA-48,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Cape Coast Municipal,-,-,-,92,3,8,-,-,-,"[ -2.547180, 9.757260, -2.002390, 10.252540 ]"
-2.65121063601347,9.93115567217425,49,GHA-49,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Gomoa,-,-,-,92,3,9,-,-,-,"[ -2.798780, 9.629860, -2.472420, 10.205050 ]"
-2.4415394019428,9.39783065055486,50,GHA-50,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Komenda/Edina/Eguafo/Abirem,-,-,-,92,3,10,-,-,-,"[ -2.779200, 8.976960, -1.749260, 9.826240 ]"
-1.73285830600276,9.53392922124261,51,GHA-51,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Mfantsiman,-,-,-,92,3,11,-,-,-,"[ -2.221980, 8.960910, -0.938570, 10.103700 ]"
-1.80551103706291,6.26212038369254,52,GHA-52,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Twifo/Heman/Lower Denkyira,-,-,-,92,3,12,-,-,-,"[ -1.978130, 5.993280, -1.527280, 6.531130 ]"
-1.34974257981078,6.31179584525724,53,GHA-53,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Central,Upper Denkyira,-,-,-,92,3,13,-,-,-,"[ -1.575540, 6.091110, -1.177990, 6.532150 ]"
-1.66381418529356,6.16647040567358,54,GHA-54,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Afram Plains,-,-,-,92,4,1,-,-,-,"[ -1.740600, 5.991530, -1.440100, 6.350820 ]"
-1.68294503295854,6.01404766861887,55,GHA-55,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Akuapim North,-,-,-,92,4,2,-,-,-,"[ -1.798210, 5.915170, -1.530960, 6.103930 ]"
-1.81393403445184,5.948031136723,56,GHA-56,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Akuapim South,-,-,-,92,4,3,-,-,-,"[ -2.205720, 5.589780, -1.558810, 6.306340 ]"
-1.9330822219116,6.34955550145201,57,GHA-57,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Asuogyaman,-,-,-,92,4,4,-,-,-,"[ -2.114400, 6.090810, -1.676620, 6.606840 ]"
-1.58846058315568,6.57031811110774,58,GHA-58,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Atiwa,-,-,-,92,4,5,-,-,-,"[ -1.827330, 6.463710, -1.331470, 6.680520 ]"
-1.76459165373485,6.77577591477365,59,GHA-59,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Birim North,-,-,-,92,4,6,-,-,-,"[ -1.960490, 6.569850, -1.663670, 6.980790 ]"
-1.61526681491823,6.69624979579763,60,GHA-60,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Birim South,-,-,-,92,4,7,-,-,-,"[ -1.696440, 6.630200, -1.524430, 6.759600 ]"
-1.38194254112327,6.61702097562272,61,GHA-61,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,East Akim,-,-,-,92,4,8,-,-,-,"[ -1.548740, 6.411790, -1.244650, 6.828180 ]"
-1.14496033545894,6.47369202239653,62,GHA-62,GH,GHA,Ghana,Republic of Ghana GH,Ghana,Eastern,Fanteakwa,-,-,-,92,4,9,-,-,-,"[ -1.300430, 6.198050, -0.910060, 6.748790 ]"
